Building Type,Square Footage,Number of Occupants,Appliances Used,Average Temperature,Day of Week,Energy Consumption
Industrial,38539.75411173286,12,14,13.25,Weekend,4429.51958173339
Industrial,20087.783778730554,69,7,32.54,Weekday,4014.633537430228
Residential,15398.885728381916,13,45,12.11,Weekend,3239.6248397920544
Residential,14823.054077577304,68,29,14.07,Weekend,3359.1170466496346
Residential,11376.157765387537,81,37,23.68,Weekend,2447.1238982398504
Industrial,3241.4071520419884,85,21,28.01,Weekend,4033.841949769006
Commercial,2157.319030909881,47,4,13.55,Weekend,3333.792362941132
Industrial,56007.33505014616,52,4,32.3,Weekend,4937.097246791083
Industrial,49103.4004028068,98,24,10.55,Weekday,4642.399922704406
Commercial,33608.23704975387,23,43,28.56,Weekday,4827.433233473304
Industrial,32012.521725492687,73,23,34.62,Weekday,6214.2474096081805
Industrial,43961.0021661375,92,35,25.8,Weekend,5928.246871420662
Commercial,23626.389616150966,78,17,34.79,Weekday,3779.0248623232064
Industrial,29639.243355671213,21,28,28.96,Weekend,4427.981236754885
Residential,13744.650604905844,13,18,21.04,Weekend,3027.677345058025
Residential,31191.882043866914,10,10,21.71,Weekday,3575.6859674032617
Industrial,13542.187124471635,89,8,27.28,Weekday,4790.90534204578
Industrial,30009.081492876372,4,13,27.18,Weekend,4418.710034249244
Commercial,28163.898808313894,93,48,31.37,Weekday,4701.038443104008
Residential,20811.222575947108,43,44,19.34,Weekday,3555.521933532076
Industrial,10192.434531922687,36,28,19.36,Weekday,3765.813161747425
Commercial,42163.28917222056,79,30,34.31,Weekday,5307.216200085867
Commercial,6675.237643294322,99,41,19.66,Weekday,4845.552172759715
Residential,41564.30213747887,8,48,12.44,Weekday,5018.251817103458
Commercial,0.0,3,28,31.36,Weekday,2575.141516754521
Residential,11114.602960446486,91,34,17.79,Weekend,3795.4658438828305
Commercial,6381.843119664929,21,10,33.58,Weekday,2674.9338849602736
Industrial,10796.768343904183,16,41,27.82,Weekday,4316.195694042587
Industrial,43148.96931786771,30,39,33.84,Weekend,5453.937558611413
Industrial,23769.802544297858,55,26,28.11,Weekday,6226.8092910650985
Industrial,15896.200570706882,25,31,15.3,Weekday,3279.246132094961
Commercial,32099.0170461733,25,21,26.8,Weekend,3509.6107321499844
Commercial,31981.52009326238,8,1,19.76,Weekday,3482.887803511735
Commercial,14187.043587722037,83,17,17.14,Weekend,5237.897975747794
Industrial,21583.897186540555,31,47,17.91,Weekday,4490.035789628143
Industrial,31924.172133234548,70,34,10.13,Weekday,5454.024511045817
Residential,1091.2086651789177,51,27,11.96,Weekday,3137.43351668303
Industrial,23913.372455006414,52,26,10.39,Weekend,4874.328057867667
Industrial,41147.66720890753,64,15,11.73,Weekday,5459.499433015296
Residential,37952.38195206893,95,49,16.69,Weekday,5258.460659661041
Commercial,31780.48936642226,10,30,10.68,Weekday,5015.295070262884
Commercial,25153.536215612687,8,10,20.28,Weekend,3297.4048913467964
Industrial,39671.331889998015,73,28,14.86,Weekend,6086.045153934138
Industrial,21180.697994212165,58,6,19.1,Weekday,4356.10848503077
Residential,55643.25535327579,65,33,24.63,Weekday,5349.8950837679595
Industrial,17906.001426557654,90,44,33.51,Weekend,5564.644659656298
Industrial,3007.2786580018283,88,44,19.54,Weekday,4781.9003724383565
Industrial,47048.17631215451,44,23,30.84,Weekend,5660.301164695243
Industrial,25706.03440464291,57,19,20.07,Weekend,4195.494442974599
Residential,28906.908449631785,41,31,24.01,Weekday,4422.802476324836
Commercial,9510.998859998715,1,21,17.83,Weekday,3358.4249672703686
Residential,18217.504042520846,83,21,21.77,Weekend,3108.481513627535
Commercial,6724.63560984459,88,41,22.27,Weekend,3772.5087923282263
Industrial,26662.92636936598,89,14,28.98,Weekend,4029.5746195272377
Residential,16819.774523449436,33,14,23.74,Weekend,2381.4948204431225
Commercial,8681.030342855793,93,49,16.33,Weekend,4457.633136742981
Industrial,34247.12817659127,15,34,16.79,Weekend,5022.318010107926
Commercial,11428.90628197481,51,7,13.32,Weekday,2972.027916387275
Industrial,28112.650172857975,60,27,34.51,Weekend,3906.5645109722477
Industrial,36421.69481280049,35,19,18.63,Weekend,4194.989658327968
Industrial,52159.607280452095,82,22,17.47,Weekend,6301.91168452059
Residential,17025.04605671033,15,1,33.38,Weekday,1294.29589814412
Residential,19945.91870745795,85,47,25.14,Weekend,4453.87857319665
Residential,32303.723033140905,63,47,33.23,Weekday,4911.1518419377835
Residential,2687.2913034258136,70,46,22.83,Weekend,3989.881949415268
Residential,3875.468130448854,81,2,33.21,Weekday,2431.0027526573326
Commercial,35451.337028438356,87,11,30.09,Weekend,3870.8885239662313
Industrial,34358.798371520636,13,45,16.46,Weekday,5930.818384099882
Industrial,25850.131602661575,42,24,16.95,Weekend,4866.382685999194
Commercial,16696.042790551055,34,35,18.11,Weekend,5062.684723938376
Residential,33321.19380314765,30,2,29.99,Weekend,2204.6156213366453
Residential,13922.911570469,4,38,31.41,Weekday,2442.4788603475113
Industrial,7467.048514086602,42,44,30.72,Weekend,3879.9036271060886
Industrial,16137.635529044057,58,19,16.61,Weekday,3886.705557560734
Industrial,26608.881513299595,32,5,23.67,Weekend,4435.894485807049
Commercial,44548.1967587784,2,18,20.62,Weekend,4190.847351947469
Commercial,25816.032162936273,86,24,24.53,Weekend,4070.8252516454045
Residential,10876.713044265569,32,1,27.57,Weekday,1878.6393037470716
Commercial,15539.586098786756,22,30,25.81,Weekend,2872.379632745418
Industrial,12838.257236831323,63,8,34.74,Weekend,3761.3626671307725
Residential,9325.667680444822,90,1,21.06,Weekday,3741.2906863060957
Commercial,23665.534201268736,98,23,20.5,Weekday,4480.423448635817
Industrial,44431.38568805632,31,33,34.69,Weekend,4833.1396576719235
Residential,27916.831541631047,43,34,20.96,Weekend,4212.359045566885
Commercial,33044.658025246266,58,48,29.34,Weekday,5872.919361427815
Commercial,20117.32624007108,80,4,11.3,Weekday,3241.9941182274515
Residential,13568.112505728139,36,37,22.53,Weekend,3078.521572866681
Commercial,11408.285102759379,35,40,16.32,Weekend,3782.272761300177
Residential,30886.930343470573,58,47,32.58,Weekend,4665.372180977381
Residential,14585.409066092398,16,11,10.88,Weekend,2362.094400196843
Commercial,42290.54554097883,97,46,28.14,Weekend,5235.213245240326
Commercial,44361.0010751622,81,20,27.82,Weekday,5635.140055472354
Residential,41856.44219916741,55,30,32.48,Weekday,4568.041302428794
Commercial,34277.17405182969,55,37,23.7,Weekday,5020.825153257904
Industrial,9569.241587516066,51,46,29.12,Weekend,3615.699121671099
Residential,7616.665760821423,34,30,19.68,Weekend,3173.379997299359
Residential,0.0,11,2,29.34,Weekday,1905.7203056996445
Commercial,15327.101412671895,86,49,22.06,Weekend,3954.804091792301
Industrial,33341.20913930687,28,45,15.43,Weekend,5388.519339355886
Residential,27756.402624018672,12,3,33.13,Weekday,2184.9151654589523
Industrial,14527.971734918214,38,31,16.0,Weekday,5362.307735704733
Industrial,4271.483103757555,22,20,25.08,Weekday,3146.384292688658
Commercial,46133.56625729832,70,17,20.78,Weekend,5207.615424512046
Industrial,397.53608045881265,62,34,19.48,Weekday,4100.643016083789
Industrial,12817.249981000916,7,7,27.65,Weekend,3407.458866072629
Industrial,42229.62624089364,54,34,34.66,Weekend,6218.582463210439
Residential,33933.32900893408,32,16,20.35,Weekend,3998.622631826458
Residential,0.0,4,14,30.62,Weekend,1954.459529514308
Residential,49362.44668375119,12,3,32.59,Weekend,4204.193657473313
Residential,12668.243959936668,45,3,24.75,Weekday,2298.565991430462
Industrial,5675.086406332475,75,24,33.81,Weekday,3625.172043770383
Industrial,5829.859111833219,2,33,23.52,Weekend,3041.329511093604
Residential,30591.826951001138,93,37,26.83,Weekday,4201.137738625203
Commercial,8558.779745796586,16,36,16.95,Weekday,3087.685155650096
Industrial,24193.759339015727,82,41,23.04,Weekday,4528.85384942608
Industrial,32486.85853553697,91,29,32.83,Weekday,5496.781702620743
Residential,39072.316344342355,45,46,20.91,Weekend,5777.010112948829
Commercial,26148.68140753989,15,33,13.98,Weekday,4240.2503310169495
Industrial,40422.957375321304,76,12,10.29,Weekend,4922.464658371608
Industrial,15850.56960540641,14,36,18.67,Weekend,4049.4800099092936
Industrial,30423.902528190825,23,28,23.38,Weekday,4186.375948105548
Industrial,18247.137498880416,68,14,21.53,Weekend,4425.497922275343
Industrial,50298.27307935249,98,30,24.87,Weekday,6441.1821036286565
Residential,19703.604239398755,7,36,31.06,Weekend,3934.8490603865152
Industrial,19534.558400855894,37,23,34.76,Weekend,3591.3073923543034
Commercial,23946.15820272884,26,49,15.85,Weekday,4490.233313060323
Residential,20293.385847125282,71,22,11.22,Weekday,4195.4305365242535
Residential,47143.51423139307,13,28,29.4,Weekday,4659.687589466652
Industrial,33781.67559604064,36,19,25.7,Weekend,5059.019895313439
Commercial,3880.860222195007,86,19,27.88,Weekend,3661.136628847518
Industrial,0.0,58,17,17.56,Weekend,3368.2250639929825
Industrial,14950.45035936143,47,12,17.29,Weekday,4364.235252898797
Commercial,6264.403761899069,60,47,29.42,Weekend,3712.2936239548053
Industrial,36788.801297856684,36,45,22.91,Weekday,4592.566619145792
Commercial,12156.137979116353,25,47,14.83,Weekday,3117.649545626719
Industrial,25029.924263681456,82,39,17.25,Weekday,4432.829715809242
Industrial,18688.453561203958,64,17,30.65,Weekday,3563.086732110715
Industrial,53104.16100770783,46,41,19.34,Weekday,5725.419435011566
Industrial,0.0,9,37,11.08,Weekend,3430.0284440928494
Commercial,26608.71622794143,96,27,29.12,Weekend,4966.4579179709135
Residential,0.0,13,29,17.8,Weekday,1328.7760204917354
Residential,42101.439926500876,5,47,13.18,Weekday,5391.541908475599
Industrial,32723.572577052895,21,47,20.15,Weekday,5788.411741840893
Residential,39379.79485567617,78,47,27.14,Weekday,5434.255071740569
Commercial,14111.71539560505,64,45,13.45,Weekday,4958.938684271251
Industrial,46734.03934102391,41,30,22.6,Weekday,5361.865985184042
Industrial,2000.3295444131318,87,33,19.31,Weekend,5058.755333655277
Commercial,15426.675237932113,16,21,34.73,Weekday,3522.0188914715845
Residential,41176.32310443399,41,8,18.18,Weekend,4457.53775109642
Commercial,30248.99528521722,71,40,29.61,Weekend,4516.069942099651
Residential,40884.64934177028,62,45,18.51,Weekday,5107.301386103953
Industrial,20149.358375617754,25,37,15.11,Weekend,4947.456406939008
Industrial,18933.863207606613,44,30,11.25,Weekend,4523.33147185227
Industrial,20644.867866127017,28,1,20.84,Weekday,4441.602015249662
Commercial,2159.660818297883,92,32,25.47,Weekday,3672.66516567496
Commercial,36603.28712713157,12,34,11.1,Weekday,4750.38057902035
Industrial,17900.37894707667,26,26,29.05,Weekend,4064.7535764209597
Commercial,20033.824809561032,10,43,26.04,Weekend,4592.976388163128
Industrial,46926.59920819548,47,12,33.71,Weekend,5162.6043102548265
Residential,0.0,58,3,22.79,Weekday,2521.8108982234025
Industrial,14998.93449966258,15,3,11.8,Weekend,3622.8178006488033
Commercial,11893.651848834526,41,40,12.19,Weekday,2962.365398135128
Industrial,6690.674414226364,65,11,13.97,Weekday,4182.988749257508
Commercial,31591.13522246945,66,46,15.58,Weekend,6203.528740254351
Commercial,24539.715623517826,4,1,12.19,Weekend,3209.4892811813183
Commercial,26468.967522143113,70,12,21.58,Weekend,4184.999893583661
Commercial,18078.85024599558,46,27,17.59,Weekday,4255.632777721064
Industrial,27056.89124745389,19,27,23.89,Weekend,3831.909940295931
Commercial,27106.639708538984,46,21,28.41,Weekend,4022.0260313100216
Industrial,41264.8234676493,13,49,15.09,Weekday,4801.988184357527
Commercial,7458.166120181963,27,28,12.39,Weekend,3156.2054474942424
Commercial,40668.244905690386,8,25,27.52,Weekend,4467.692494896758
Industrial,2193.665439708998,21,37,31.57,Weekday,3924.8637617119493
Industrial,35552.32992969119,84,3,32.04,Weekday,5662.318666183978
Residential,43836.29828132482,50,34,33.2,Weekday,4318.030152145091
Commercial,48050.57178055006,49,44,24.36,Weekday,5367.010020097411
Residential,26655.23807623813,50,23,23.8,Weekend,4306.615796415035
Commercial,25351.33152872017,37,38,33.06,Weekday,3865.21345416266
Residential,17718.80268651947,94,23,16.63,Weekend,4245.092366165238
Industrial,27570.785947191926,64,11,27.67,Weekday,4935.476393673249
Industrial,43849.73733159286,18,38,27.13,Weekend,5077.881547493531
Industrial,43022.49522745014,20,37,26.45,Weekend,6373.707460382757
Industrial,70547.6607353549,51,35,30.75,Weekday,5825.6002201520305
Industrial,36049.391875180234,60,19,31.74,Weekday,4534.450362001761
Residential,49465.13295256245,32,14,26.06,Weekend,4278.82319472988
Residential,33693.21848836175,79,18,20.41,Weekday,3607.7217368133633
Residential,29967.332441461564,3,11,32.92,Weekend,2964.6452050927583
Commercial,3676.881289838117,79,5,10.37,Weekend,2605.7148191921524
Commercial,14077.329302271874,83,31,10.63,Weekday,4374.0143934298285
Commercial,22388.260236587575,33,41,21.22,Weekend,4027.372161588612
Commercial,45420.93470791265,27,16,24.14,Weekend,5201.059555293335
Commercial,40342.176803142254,99,35,28.5,Weekend,5719.580521532232
Industrial,41226.8964280551,58,45,32.79,Weekend,5760.196516149273
Commercial,6615.221001153091,79,38,29.59,Weekday,3611.268883232945
Industrial,23762.280680728334,37,7,25.09,Weekend,4563.2968015126
Industrial,34641.948103172566,68,8,32.25,Weekday,4147.160234510104
Residential,49560.99843145911,16,38,28.7,Weekday,4248.443883741243
Commercial,19852.1844682921,68,41,20.88,Weekend,3586.2536914615885
Residential,27583.230505237654,24,22,32.87,Weekday,3500.2207471395373
Residential,50458.805785027405,55,45,15.4,Weekday,6068.972537436868
Residential,18998.396964554668,13,11,23.22,Weekday,2926.58052824144
Residential,13252.303318799097,77,37,25.66,Weekday,2556.049298606102
Residential,16815.8776075216,18,21,16.16,Weekend,2927.246613752519
Industrial,37212.0119553469,23,29,25.76,Weekday,5049.225071418909
Residential,47193.294570097896,9,3,19.52,Weekend,3521.1493218232104
Commercial,21282.504847160842,41,18,26.37,Weekend,3584.925152982681
Commercial,3535.722670991797,26,12,18.34,Weekend,2965.190294604268
Residential,12849.10240645404,80,35,20.16,Weekend,2988.4409813301154
Industrial,14390.984200146588,37,15,18.92,Weekend,3470.996954974179
Residential,23804.67471863106,21,39,12.37,Weekday,3730.819119160482
Industrial,45508.38575374673,49,28,11.94,Weekday,5534.920706883459
Industrial,23735.94754607466,62,32,34.54,Weekday,4497.433965284706
Residential,18135.09491910619,91,14,25.79,Weekday,3357.4277055082507
Industrial,14190.71082121868,49,13,18.44,Weekday,4255.300774235352
Commercial,22491.06963200267,41,13,13.43,Weekday,3698.2236946976122
Commercial,8922.252518218673,79,28,13.9,Weekday,4260.3120799028575
Industrial,39238.143670409074,91,23,29.54,Weekend,5746.554554138108
Residential,45148.22157784575,17,49,29.5,Weekday,4654.358176500144
Industrial,22649.38303745621,77,38,30.67,Weekday,5476.239195645779
Residential,31470.46025251582,50,35,11.13,Weekday,5050.284576476194
Commercial,38350.218823691306,21,30,24.39,Weekend,5011.718795908899
Residential,42549.11891392292,93,6,32.04,Weekday,4585.821703869367
Commercial,40058.74218236225,35,40,32.11,Weekday,4782.091172284198
Commercial,27822.76831428439,99,6,23.09,Weekend,4305.86599232846
Residential,16564.21062180733,42,23,25.92,Weekend,3911.20416817759
Industrial,13953.943751828454,50,29,18.54,Weekend,4592.71474473712
Commercial,2009.2283216038395,72,24,14.25,Weekend,3301.882472288785
Commercial,38126.029390276744,14,39,14.13,Weekend,5254.634116790607
Commercial,16971.108421140474,7,44,32.44,Weekend,3560.922938549985
Commercial,44607.58981527713,41,21,15.87,Weekday,5025.84085613433
Industrial,10944.988032761134,24,34,28.34,Weekday,3085.4832479742063
Industrial,29813.39675436939,35,38,20.76,Weekend,4580.295998705121
Residential,11956.547956799346,90,12,20.83,Weekday,3749.8869015614673
Residential,35677.06763025246,45,20,20.29,Weekday,4415.746764619238
Commercial,9915.886849906063,94,25,20.37,Weekend,3231.73493043177
Commercial,27239.66790419725,48,7,33.17,Weekend,4194.60276912775
Commercial,19160.177498295154,39,18,16.16,Weekday,3965.954461123138
Residential,30878.65361351552,58,3,12.25,Weekend,4240.013449228553
Residential,22439.07848211059,28,21,25.4,Weekday,3814.5541462361775
Residential,18527.758648578874,75,45,17.0,Weekend,3852.72017002738
Industrial,8572.293503366429,57,39,21.27,Weekday,3986.7068883652664
Commercial,4462.344410734966,25,11,27.42,Weekday,3493.7958032567185
Residential,45219.69750600931,3,25,10.42,Weekend,4137.035861701382
Residential,19752.723616851275,70,3,24.76,Weekday,2456.299755780512
Commercial,35963.26317829822,22,26,15.34,Weekday,4536.053223819827
Industrial,18310.758387682537,55,15,29.27,Weekend,4316.603591779824
Residential,31273.69713788785,21,30,18.62,Weekday,4539.423868830515
Residential,25440.12888102274,91,31,21.16,Weekend,4549.691166551473
Residential,46026.802548735744,92,4,18.9,Weekend,4407.559274442631
Industrial,5795.645813652979,68,36,31.82,Weekday,4335.934049051677
Industrial,9211.962044516531,52,5,18.39,Weekend,3787.2307959241048
Residential,32155.592384865293,14,37,22.23,Weekday,3122.5273146909017
Residential,466.310679544089,91,8,25.03,Weekday,3104.4484407076284
Industrial,57396.994462899536,72,8,25.75,Weekend,5710.286174710264
